art_id,criteriaID,human_annotation,human_annotation2,gpt_annotation,expost_groundtruth,to_annotate,human_annotation_verbose,human_annotation2_verbose,gpt_annotation_verbose,borderline,motivation
87,Type,3,1,1,,True,Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale","Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",False,
87,HeadAcc1,3,4,3,,False,Abbastanza accurato,Accurato,Abbastanza accurato,False,
89,LedePres,2,1,1,,True,Si,No,No,False,
92,HeadAcc1,3,2,3,,False,Abbastanza accurato,Abbastanza inaccurato,Abbastanza accurato,False,
92,ArtBias,4,3,3,,False,Imparziale,Abbastanza imparziale,Abbastanza imparziale,False,
93,HeadAcc1,3,2,3,,False,Abbastanza accurato,Abbastanza inaccurato,Abbastanza accurato,False,
93,ArtBias,2,1,1,,False,Abbastanza di parte,Di parte,Di parte,False,
94,Type,2,1,2,,True,Editoriale o opinione,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Editoriale o opinione,False,
94,HeadAcc1,2,3,3,,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,False,
100,HeadAcc1,3,2,4,,False,Abbastanza accurato,Abbastanza inaccurato,Accurato,False,
101,HeadAcc1,4,3,3,,False,Accurato,Abbastanza accurato,Abbastanza accurato,False,
101,ArtBias,4,3,3,,False,Imparziale,Abbastanza imparziale,Abbastanza imparziale,False,
101,SensLang,4,2,2,2.0,True,Neutro,Abbastanza sensazionale,Abbastanza sensazionale,False,"linguaggio emotivo e drammatico per descrivere gli eventi, come ""letteralmente travolto e distrutto dal caldo"", ""cupola di afa mortale"", e ""inghiottito gli edifici in pochissimo tempo"". Questi termini enfatizzano l'impatto devastante dell'incendio e del caldo"
103,SensLang,3,2,2,,False,Abbastanza neutro,Abbastanza sensazionale,Abbastanza sensazionale,False,
103,HeadAcc1,2,3,4,,False,Abbastanza inaccurato,Abbastanza accurato,Accurato,False,
103,Type,2,1,1,,True,Editoriale o opinione,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale","Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",False,
105,LedePres,2,1,1,,True,Si,No,No,False,
106,ArtBias,4,3,4,,False,Imparziale,Abbastanza imparziale,Imparziale,False,
106,LedePres,2,1,2,,True,Si,No,Si,False,
109,LedePres,2,1,2,,True,Si,No,Si,False,
111,LedePres,2,1,2,,True,Si,No,Si,False,
111,SensLang,4,3,3,,False,Neutro,Abbastanza neutro,Abbastanza neutro,False,
111,ArtBias,3,4,3,,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,False,
113,ArtBias,4,3,3,,False,Imparziale,Abbastanza imparziale,Abbastanza imparziale,False,
116,HeadAcc1,3,4,4,,False,Abbastanza accurato,Accurato,Accurato,False,
117,LedePres,2,1,2,,True,Si,No,Si,False,
119,ArtBias,4,3,3,,False,Imparziale,Abbastanza imparziale,Abbastanza imparziale,False,
119,LedePres,2,1,2,,True,Si,No,Si,False,
120,LedePres,2,1,2,,True,Si,No,Si,False,
122,Type,1,5,5,,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Notizia di costume o cronaca rosa,Notizia di costume o cronaca rosa,False,
122,SensLang,4,2,2,2.0,True,Neutro,Abbastanza sensazionale,Abbastanza sensazionale,False,"linguaggio emotivo e drammatico per descrivere la lite tra Giancarlo Magalli e Adriana Volpe, paragonandola a una soap opera (""Beautiful casareccio"") e sottolineando la natura continua e accesa del conflitto"
122,ArtBias,4,3,3,,False,Imparziale,Abbastanza imparziale,Abbastanza imparziale,False,
123,LedePres,2,1,2,,True,Si,No,Si,False,
123,ArtBias,4,3,4,,False,Imparziale,Abbastanza imparziale,Imparziale,False,
126,Type,3,5,5,,True,Inchiesta,Notizia di costume o cronaca rosa,Notizia di costume o cronaca rosa,False,
126,ArtBias,4,3,3,,False,Imparziale,Abbastanza imparziale,Abbastanza imparziale,False,
126,NegTarg2,['4'],[],['2'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM INCORRECT
126,SensLang,3,4,2,,False,Abbastanza neutro,Neutro,Abbastanza sensazionale,False,
126,NegTarg1,2,1,1,,True,Si,No,No,False,LLM CORRECT
128,Type,3,2,2,,True,Inchiesta,Editoriale o opinione,Editoriale o opinione,False,
128,NegTarg2,[],['4'],['2'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM CORRECT
128,SensLang,4,3,2,,False,Neutro,Abbastanza neutro,Abbastanza sensazionale,False,
128,NegTarg1,2,1,1,,True,Si,No,No,False,LLM INCORRECT
128,HeadAcc1,3,2,4,,False,Abbastanza accurato,Abbastanza inaccurato,Accurato,False,
131,LedePres,2,1,2,,True,Si,No,Si,False,
131,NegTarg2,"['4', '3']",['3'],['3'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM CORRECT
131,HeadAcc1,4,3,4,,False,Accurato,Abbastanza accurato,Accurato,False,
132,SensLang,3,4,3,,False,Abbastanza neutro,Neutro,Abbastanza neutro,False,
134,ArtBias,4,3,3,,False,Imparziale,Abbastanza imparziale,Abbastanza imparziale,False,
134,NegTarg1,2,1,1,,True,Si,No,No,False,LLM INCORRECT
134,NegTarg2,[],['4'],['-1'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM CORRECT
135,SensLang,4,3,3,,False,Neutro,Abbastanza neutro,Abbastanza neutro,False,
135,LedePres,2,1,2,,True,Si,No,Si,False,
137,Type,3,1,1,,True,Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale","Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",False,
137,SensLang,4,3,3,,False,Neutro,Abbastanza neutro,Abbastanza neutro,False,
140,NegTarg1,2,1,2,,True,Si,No,Si,False,LLM CORRECT
140,NegTarg2,[],['4'],"['1', '2']",,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM CORRECT
140,SensLang,4,3,2,,False,Neutro,Abbastanza neutro,Abbastanza sensazionale,False,
140,LedePres,2,1,1,,True,Si,No,No,False,
141,NegTarg1,2,1,1,,True,Si,No,No,False,LLM INCORRECT
141,NegTarg2,[],['4'],['1'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM CORRECT
141,LedePres,2,1,1,,True,Si,No,No,False,
141,HeadAcc1,3,2,3,,False,Abbastanza accurato,Abbastanza inaccurato,Abbastanza accurato,False,
142,NegTarg2,[],['4'],"['1', '2']",,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM INCORRECT
142,ArtBias,2,3,2,,False,Abbastanza di parte,Abbastanza imparziale,Abbastanza di parte,False,
142,HeadAcc1,2,3,3,,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,False,
142,LedePres,2,1,1,,True,Si,No,No,False,
142,SensLang,4,3,2,,False,Neutro,Abbastanza neutro,Abbastanza sensazionale,False,
142,NegTarg1,2,1,1,,True,Si,No,No,False,LLM CORRECT
145,LedePres,1,2,2,,True,No,Si,Si,False,
146,HeadAcc1,4,3,4,,False,Accurato,Abbastanza accurato,Accurato,False,
148,ArtBias,3,4,3,,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,False,
149,NegTarg2,[],['4'],['1'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM CORRECT
149,SensLang,3,1,3,3.0,True,Abbastanza neutro,Sensazionale,Abbastanza neutro,False,"l'uso di termini come ""clamoroso dirottamento di Stato"" e ""pugno sempre più duro del regime"" aggiunge un leggero tono sensazionale"
150,ArtBias,4,3,3,,False,Imparziale,Abbastanza imparziale,Abbastanza imparziale,False,
150,HeadAcc1,3,4,4,,False,Abbastanza accurato,Accurato,Accurato,False,
151,SensLang,4,3,2,,False,Neutro,Abbastanza neutro,Abbastanza sensazionale,False,
154,HeadAcc1,4,3,3,,False,Accurato,Abbastanza accurato,Abbastanza accurato,False,
154,ArtBias,3,4,2,,False,Abbastanza imparziale,Imparziale,Abbastanza di parte,False,
155,NegTarg2,[],['4'],['4'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM CORRECT
155,ArtBias,3,2,3,,False,Abbastanza imparziale,Abbastanza di parte,Abbastanza imparziale,False,
155,NegTarg1,2,1,2,,True,Si,No,Si,False,LLM CORRECT
158,HeadAcc1,3,4,3,,False,Abbastanza accurato,Accurato,Abbastanza accurato,False,
159,LedePres,1,2,1,,True,No,Si,No,False,
160,LedePres,1,2,2,,True,No,Si,Si,False,
160,HeadAcc1,3,4,4,,False,Abbastanza accurato,Accurato,Accurato,False,
160,ArtBias,3,4,3,,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,False,
163,ArtBias,3,4,4,,False,Abbastanza imparziale,Imparziale,Imparziale,False,
164,ArtBias,3,4,3,,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,False,
164,HeadAcc1,3,4,4,,False,Abbastanza accurato,Accurato,Accurato,False,
164,Type,1,3,1,,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",False,
166,HeadAcc1,4,3,4,,False,Accurato,Abbastanza accurato,Accurato,False,
168,LedePres,1,2,2,,True,No,Si,Si,False,
169,NegTarg2,['4'],[],['1'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM CORRECT
169,LedePres,2,1,2,,True,Si,No,Si,False,
169,HeadAcc1,3,2,3,,False,Abbastanza accurato,Abbastanza inaccurato,Abbastanza accurato,False,
173,Type,1,2,1,,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Editoriale o opinione,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",False,
173,LedePres,1,2,1,,True,No,Si,No,False,
173,NegTarg1,1,2,1,,True,No,Si,No,False,LLM CORRECT
173,SensLang,3,4,3,,False,Abbastanza neutro,Neutro,Abbastanza neutro,False,
174,NegTarg1,1,2,1,,True,No,Si,No,False,LLM CORRECT
176,HeadAcc1,2,4,3,3.0,True,Abbastanza inaccurato,Accurato,Abbastanza accurato,False,valore medio resonable
176,LedePres,2,1,1,,True,Si,No,No,False,
177,LedePres,2,1,2,,True,Si,No,Si,False,
177,HeadAcc1,3,4,4,,False,Abbastanza accurato,Accurato,Accurato,False,
180,LedePres,1,2,2,,True,No,Si,Si,False,
182,ArtBias,2,3,1,,False,Abbastanza di parte,Abbastanza imparziale,Di parte,False,
182,Type,2,1,1,,True,Editoriale o opinione,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale","Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",False,
182,LedePres,2,1,1,,True,Si,No,No,False,
183,SensLang,3,4,3,,False,Abbastanza neutro,Neutro,Abbastanza neutro,False,
183,NegTarg1,1,2,1,,True,No,Si,No,False,LLM CORRECT
184,LedePres,2,1,1,,True,Si,No,No,False,
184,Type,1,3,1,,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",False,
185,NegTarg2,['4'],[],['1'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM CORRECT
185,SensLang,2,1,2,,False,Abbastanza sensazionale,Sensazionale,Abbastanza sensazionale,False,
185,NegTarg1,1,2,2,,True,No,Si,Si,False,LLM INCORRECT
185,ArtBias,1,2,1,,False,Di parte,Abbastanza di parte,Di parte,False,
186,LedePres,1,2,1,,True,No,Si,No,False,
186,NegTarg2,['4'],[],['1'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM CORRECT
188,LedePres,2,1,1,,True,Si,No,No,False,
192,HeadAcc1,4,2,3,3.0,True,Accurato,Abbastanza inaccurato,Abbastanza accurato,False,valore medio resonable
192,ArtBias,1,3,1,1.0,True,Di parte,Abbastanza imparziale,Di parte,False,sembra di parte 
195,Type,1,3,1,,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",False,
196,ArtBias,2,3,1,,False,Abbastanza di parte,Abbastanza imparziale,Di parte,False,
