art_id,criteriaID,human_annotation,human_annotation2,gpt_annotation,expost_groundtruth,to_annotate,human_annotation_verbose,human_annotation2_verbose,gpt_annotation_verbose,borderline
87,HeadAcc1,3,4,3,Empty,False,Abbastanza accurato,Accurato,Abbastanza accurato,Empty
87,Type,1,3,1,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
89,LedePres,1,2,1,Empty,True,No,Si,No,Empty
92,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
92,HeadAcc1,2,3,3,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,Empty
93,ArtBias,1,2,1,Empty,False,Di parte,Abbastanza di parte,Di parte,Empty
93,HeadAcc1,2,3,3,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,Empty
94,Type,2,1,2,Empty,True,Editoriale o opinione,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Editoriale o opinione,Empty
94,HeadAcc1,2,3,3,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,Empty
100,HeadAcc1,3,2,4,Empty,False,Abbastanza accurato,Abbastanza inaccurato,Accurato,Empty
101,HeadAcc1,3,4,3,Empty,False,Abbastanza accurato,Accurato,Abbastanza accurato,Empty
101,SensLang,2,4,2,Empty,True,Abbastanza sensazionale,Neutro,Abbastanza sensazionale,Empty
101,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
103,SensLang,2,3,2,Empty,False,Abbastanza sensazionale,Abbastanza neutro,Abbastanza sensazionale,Empty
103,Type,1,2,1,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Editoriale o opinione,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
103,HeadAcc1,3,2,4,Empty,False,Abbastanza accurato,Abbastanza inaccurato,Accurato,Empty
105,LedePres,1,2,1,Empty,True,No,Si,No,Empty
106,ArtBias,4,3,4,Empty,False,Imparziale,Abbastanza imparziale,Imparziale,Empty
106,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
109,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
111,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
111,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
111,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
113,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
116,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
117,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
119,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
119,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
120,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
122,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
122,Type,1,5,5,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Notizia di costume o cronaca rosa,Notizia di costume o cronaca rosa,Empty
122,SensLang,2,4,2,Empty,True,Abbastanza sensazionale,Neutro,Abbastanza sensazionale,Empty
123,ArtBias,3,4,4,Empty,False,Abbastanza imparziale,Imparziale,Imparziale,Empty
123,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
126,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
126,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
126,NegTarg2,['4'],[],['2'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
126,SensLang,3,4,2,Empty,False,Abbastanza neutro,Neutro,Abbastanza sensazionale,Empty
126,Type,3,5,5,Empty,True,Inchiesta,Notizia di costume o cronaca rosa,Notizia di costume o cronaca rosa,Empty
128,SensLang,3,4,2,Empty,False,Abbastanza neutro,Neutro,Abbastanza sensazionale,Empty
128,NegTarg2,['4'],[],['2'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
128,HeadAcc1,3,2,4,Empty,False,Abbastanza accurato,Abbastanza inaccurato,Accurato,Empty
128,Type,3,2,2,Empty,True,Inchiesta,Editoriale o opinione,Editoriale o opinione,Empty
128,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
131,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
131,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
131,NegTarg2,"['4', '3']",['3'],['3'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
132,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
134,NegTarg2,[],['4'],['-1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
134,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
134,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
135,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
135,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
137,Type,1,3,1,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
137,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
140,SensLang,4,3,2,Empty,False,Neutro,Abbastanza neutro,Abbastanza sensazionale,Empty
140,LedePres,1,2,1,Empty,True,No,Si,No,Empty
140,NegTarg1,1,2,2,Empty,True,No,Si,Si,Empty
140,NegTarg2,['4'],[],"['1', '2']",Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
141,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
141,LedePres,1,2,1,Empty,True,No,Si,No,Empty
141,HeadAcc1,2,3,3,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,Empty
141,NegTarg2,[],['4'],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
142,ArtBias,2,3,2,Empty,False,Abbastanza di parte,Abbastanza imparziale,Abbastanza di parte,Empty
142,SensLang,3,4,2,Empty,False,Abbastanza neutro,Neutro,Abbastanza sensazionale,Empty
142,HeadAcc1,2,3,3,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,Empty
142,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
142,LedePres,1,2,1,Empty,True,No,Si,No,Empty
142,NegTarg2,['4'],[],"['1', '2']",Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
145,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
146,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
148,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
149,NegTarg2,[],['4'],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
149,SensLang,1,3,3,Empty,True,Sensazionale,Abbastanza neutro,Abbastanza neutro,Empty
150,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
150,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
151,SensLang,3,4,2,Empty,False,Abbastanza neutro,Neutro,Abbastanza sensazionale,Empty
154,HeadAcc1,3,4,3,Empty,False,Abbastanza accurato,Accurato,Abbastanza accurato,Empty
154,ArtBias,3,4,2,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza di parte,Empty
155,NegTarg2,['4'],[],['4'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
155,NegTarg1,1,2,2,Empty,True,No,Si,Si,Empty
155,ArtBias,2,3,3,Empty,False,Abbastanza di parte,Abbastanza imparziale,Abbastanza imparziale,Empty
158,HeadAcc1,3,4,3,Empty,False,Abbastanza accurato,Accurato,Abbastanza accurato,Empty
159,LedePres,1,2,1,Empty,True,No,Si,No,Empty
160,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
160,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
160,ArtBias,4,3,3,Empty,False,Imparziale,Abbastanza imparziale,Abbastanza imparziale,Empty
163,ArtBias,3,4,4,Empty,False,Abbastanza imparziale,Imparziale,Imparziale,Empty
164,Type,3,1,1,Empty,True,Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale","Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
164,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
164,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
166,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
168,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
169,NegTarg2,['4'],[],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
169,HeadAcc1,2,3,3,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,Empty
169,LedePres,2,1,2,Empty,True,Si,No,Si,Empty
173,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
173,LedePres,1,2,1,Empty,True,No,Si,No,Empty
173,NegTarg1,2,1,1,Empty,True,Si,No,No,Empty
173,Type,1,2,1,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Editoriale o opinione,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
174,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
176,HeadAcc1,2,4,3,Empty,True,Abbastanza inaccurato,Accurato,Abbastanza accurato,Empty
176,LedePres,1,2,1,Empty,True,No,Si,No,Empty
177,HeadAcc1,4,3,4,Empty,False,Accurato,Abbastanza accurato,Accurato,Empty
177,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
180,LedePres,2,1,2,Empty,True,Si,No,Si,Empty
182,LedePres,1,2,1,Empty,True,No,Si,No,Empty
182,Type,1,2,1,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Editoriale o opinione,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
182,ArtBias,2,3,1,Empty,False,Abbastanza di parte,Abbastanza imparziale,Di parte,Empty
183,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
183,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
184,LedePres,1,2,1,Empty,True,No,Si,No,Empty
184,Type,1,3,1,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
185,SensLang,1,2,2,Empty,False,Sensazionale,Abbastanza sensazionale,Abbastanza sensazionale,Empty
185,NegTarg2,['4'],[],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
185,ArtBias,1,2,1,Empty,False,Di parte,Abbastanza di parte,Di parte,Empty
185,NegTarg1,1,2,2,Empty,True,No,Si,Si,Empty
186,LedePres,1,2,1,Empty,True,No,Si,No,Empty
186,NegTarg2,['4'],[],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
188,LedePres,2,1,1,Empty,True,Si,No,No,Empty
192,ArtBias,1,3,1,Empty,True,Di parte,Abbastanza imparziale,Di parte,Empty
