art_id,ann,criteriaID,annotation
14,Ann. 3,Type,1.0
14,Ann. 3,ArtBias,3.0
14,Ann. 3,NegTarg1,1.0
14,Ann. 3,LedePres,1.0
14,Ann. 2,LedePres,1.0
14,Ann. 2,ArtBias,3.0
15,Ann. 1,LedePres,1.0
15,Ann. 2,LedePres,1.0
15,Ann. 2,NegTarg1,2.0
15,Ann. 1,NegTarg2,"['2', '4']"
15,Ann. 1,NegTarg1,2.0
15,Ann. 1,HeadAcc1,2.0
15,Ann. 2,HeadAcc1,2.0
15,Ann. 2,Type,2.0
15,Ann. 1,ArtBias,2.0
15,Ann. 2,ArtBias,2.0
15,Ann. 1,Type,2.0
15,Ann. 1,SensLang,2.0
15,Ann. 2,SensLang,3.0
15,Ann. 2,NegTarg2,"['2', '4']"
16,Ann. 1,Type,1.0
16,Ann. 1,ArtBias,4.0
16,Ann. 2,ArtBias,4.0
16,Ann. 1,LedePres,1.0
16,Ann. 2,SensLang,4.0
16,Ann. 2,NegTarg1,1.0
16,Ann. 1,NegTarg1,1.0
16,Ann. 1,SensLang,4.0
16,Ann. 2,Type,1.0
16,Ann. 2,HeadAcc1,1.0
16,Ann. 1,HeadAcc1,4.0
16,Ann. 2,NegTarg2,[]
16,Ann. 1,NegTarg2,[]
16,Ann. 2,LedePres,2.0
17,Ann. 3,LedePres,2.0
17,Ann. 3,NegTarg1,1.0
17,Ann. 1,NegTarg1,1.0
17,Ann. 1,HeadAcc1,4.0
17,Ann. 1,ArtBias,4.0
17,Ann. 1,NegTarg2,[]
17,Ann. 1,LedePres,2.0
17,Ann. 3,NegTarg2,[]
17,Ann. 1,SensLang,4.0
17,Ann. 3,SensLang,4.0
17,Ann. 3,ArtBias,4.0
17,Ann. 3,HeadAcc1,4.0
17,Ann. 1,Type,1.0
17,Ann. 3,Type,1.0
18,Ann. 2,Type,1.0
18,Ann. 1,Type,1.0
18,Ann. 1,NegTarg2,[]
18,Ann. 2,HeadAcc1,3.0
18,Ann. 1,SensLang,4.0
18,Ann. 2,SensLang,4.0
18,Ann. 2,NegTarg1,1.0
18,Ann. 1,ArtBias,3.0
18,Ann. 1,HeadAcc1,4.0
18,Ann. 2,NegTarg2,[]
18,Ann. 1,NegTarg1,1.0
18,Ann. 1,LedePres,2.0
18,Ann. 2,LedePres,1.0
18,Ann. 2,ArtBias,4.0
19,Ann. 2,SensLang,3.0
19,Ann. 1,LedePres,2.0
19,Ann. 2,LedePres,2.0
19,Ann. 1,SensLang,2.0
19,Ann. 1,ArtBias,4.0
19,Ann. 2,NegTarg1,1.0
19,Ann. 2,ArtBias,4.0
19,Ann. 1,NegTarg1,1.0
19,Ann. 1,HeadAcc1,2.0
19,Ann. 2,HeadAcc1,3.0
19,Ann. 2,Type,1.0
19,Ann. 2,NegTarg2,['1']
19,Ann. 1,NegTarg2,[]
19,Ann. 1,Type,1.0
20,Ann. 3,ArtBias,4.0
20,Ann. 2,Type,1.0
20,Ann. 2,SensLang,3.0
20,Ann. 3,SensLang,4.0
20,Ann. 3,HeadAcc1,4.0
20,Ann. 2,ArtBias,4.0
20,Ann. 2,HeadAcc1,3.0
20,Ann. 3,NegTarg2,[]
20,Ann. 2,NegTarg2,['2']
20,Ann. 3,Type,1.0
20,Ann. 3,NegTarg1,
20,Ann. 3,LedePres,1.0
20,Ann. 2,LedePres,2.0
20,Ann. 2,NegTarg1,1.0
21,Ann. 1,Type,5.0
21,Ann. 3,Type,5.0
21,Ann. 1,HeadAcc1,4.0
21,Ann. 1,SensLang,4.0
21,Ann. 3,LedePres,1.0
21,Ann. 3,SensLang,4.0
21,Ann. 3,NegTarg1,1.0
21,Ann. 1,LedePres,1.0
21,Ann. 1,NegTarg2,[]
21,Ann. 1,NegTarg1,1.0
21,Ann. 3,NegTarg2,[]
21,Ann. 3,HeadAcc1,4.0
21,Ann. 1,ArtBias,4.0
21,Ann. 3,ArtBias,4.0
22,Ann. 2,HeadAcc1,3.0
22,Ann. 1,NegTarg1,1.0
22,Ann. 1,NegTarg2,[]
22,Ann. 2,LedePres,2.0
22,Ann. 2,NegTarg2,['1']
22,Ann. 1,LedePres,2.0
22,Ann. 1,ArtBias,4.0
22,Ann. 2,NegTarg1,1.0
22,Ann. 2,ArtBias,4.0
22,Ann. 1,HeadAcc1,4.0
22,Ann. 1,SensLang,4.0
22,Ann. 2,SensLang,4.0
22,Ann. 1,Type,1.0
22,Ann. 2,Type,1.0
23,Ann. 1,HeadAcc1,4.0
23,Ann. 3,ArtBias,4.0
23,Ann. 1,ArtBias,4.0
23,Ann. 1,NegTarg1,1.0
23,Ann. 3,HeadAcc1,3.0
23,Ann. 3,NegTarg1,1.0
23,Ann. 1,Type,1.0
23,Ann. 3,Type,3.0
23,Ann. 3,SensLang,4.0
23,Ann. 1,NegTarg2,[]
23,Ann. 3,NegTarg2,[]
23,Ann. 1,LedePres,2.0
23,Ann. 3,LedePres,1.0
23,Ann. 1,SensLang,4.0
24,Ann. 2,NegTarg2,[]
24,Ann. 1,NegTarg2,[]
24,Ann. 2,Type,1.0
24,Ann. 1,ArtBias,4.0
24,Ann. 2,ArtBias,3.0
24,Ann. 1,HeadAcc1,3.0
24,Ann. 2,HeadAcc1,3.0
24,Ann. 2,LedePres,1.0
24,Ann. 1,LedePres,2.0
24,Ann. 2,NegTarg1,1.0
24,Ann. 1,Type,1.0
24,Ann. 1,NegTarg1,1.0
24,Ann. 2,SensLang,4.0
24,Ann. 1,SensLang,4.0
25,Ann. 1,NegTarg2,[]
25,Ann. 3,NegTarg1,1.0
25,Ann. 3,ArtBias,4.0
25,Ann. 3,SensLang,4.0
25,Ann. 3,NegTarg2,[]
25,Ann. 1,Type,1.0
25,Ann. 1,NegTarg1,1.0
25,Ann. 3,LedePres,2.0
25,Ann. 1,SensLang,4.0
25,Ann. 1,ArtBias,3.0
25,Ann. 3,Type,1.0
25,Ann. 3,HeadAcc1,3.0
25,Ann. 1,HeadAcc1,4.0
25,Ann. 1,LedePres,2.0
26,Ann. 2,NegTarg2,[]
26,Ann. 2,LedePres,1.0
26,Ann. 1,NegTarg2,[]
26,Ann. 2,NegTarg1,1.0
26,Ann. 2,HeadAcc1,3.0
26,Ann. 1,HeadAcc1,3.0
26,Ann. 1,NegTarg1,1.0
26,Ann. 1,LedePres,1.0
26,Ann. 1,SensLang,4.0
26,Ann. 2,ArtBias,4.0
26,Ann. 1,Type,1.0
26,Ann. 2,Type,1.0
26,Ann. 2,SensLang,4.0
26,Ann. 1,ArtBias,4.0
27,Ann. 2,ArtBias,3.0
27,Ann. 1,Type,1.0
27,Ann. 1,HeadAcc1,3.0
27,Ann. 2,SensLang,3.0
27,Ann. 1,ArtBias,3.0
27,Ann. 2,LedePres,2.0
27,Ann. 1,LedePres,2.0
27,Ann. 2,HeadAcc1,4.0
27,Ann. 2,Type,1.0
27,Ann. 2,NegTarg2,[]
27,Ann. 1,NegTarg1,1.0
27,Ann. 1,NegTarg2,[]
27,Ann. 2,NegTarg1,1.0
27,Ann. 1,SensLang,4.0
28,Ann. 2,NegTarg2,['2']
28,Ann. 1,NegTarg2,['4']
28,Ann. 2,Type,3.0
28,Ann. 2,HeadAcc1,2.0
28,Ann. 1,HeadAcc1,3.0
28,Ann. 1,NegTarg1,2.0
28,Ann. 2,SensLang,2.0
28,Ann. 1,SensLang,2.0
28,Ann. 2,NegTarg1,2.0
28,Ann. 1,Type,3.0
28,Ann. 1,LedePres,1.0
28,Ann. 2,LedePres,
28,Ann. 2,ArtBias,2.0
28,Ann. 1,ArtBias,2.0
29,Ann. 1,NegTarg2,[]
29,Ann. 2,SensLang,4.0
29,Ann. 1,SensLang,4.0
29,Ann. 1,Type,1.0
29,Ann. 2,Type,1.0
29,Ann. 2,NegTarg2,[]
29,Ann. 1,ArtBias,4.0
29,Ann. 2,ArtBias,4.0
29,Ann. 1,NegTarg1,1.0
29,Ann. 2,NegTarg1,1.0
29,Ann. 1,HeadAcc1,4.0
29,Ann. 2,HeadAcc1,4.0
29,Ann. 2,LedePres,1.0
29,Ann. 1,LedePres,2.0
30,Ann. 2,ArtBias,4.0
30,Ann. 1,ArtBias,3.0
30,Ann. 2,SensLang,4.0
30,Ann. 1,SensLang,4.0
30,Ann. 2,NegTarg2,[]
30,Ann. 1,LedePres,2.0
30,Ann. 1,HeadAcc1,3.0
30,Ann. 2,LedePres,2.0
30,Ann. 2,Type,1.0
30,Ann. 1,NegTarg2,[]
30,Ann. 2,NegTarg1,1.0
30,Ann. 1,NegTarg1,1.0
30,Ann. 2,HeadAcc1,3.0
30,Ann. 1,Type,1.0
31,Ann. 2,SensLang,4.0
31,Ann. 1,Type,1.0
31,Ann. 2,Type,1.0
31,Ann. 1,SensLang,4.0
31,Ann. 2,LedePres,1.0
31,Ann. 1,LedePres,1.0
31,Ann. 2,ArtBias,3.0
31,Ann. 1,ArtBias,3.0
31,Ann. 2,NegTarg1,2.0
31,Ann. 1,HeadAcc1,3.0
31,Ann. 2,HeadAcc1,3.0
31,Ann. 1,NegTarg1,2.0
31,Ann. 1,NegTarg2,['4']
31,Ann. 2,NegTarg2,[]
32,Ann. 2,ArtBias,2.0
32,Ann. 2,SensLang,2.0
32,Ann. 2,HeadAcc1,2.0
32,Ann. 2,NegTarg2,"['2', '3']"
32,Ann. 2,Type,1.0
32,Ann. 2,NegTarg1,2.0
32,Ann. 2,LedePres,1.0
33,Ann. 1,ArtBias,4.0
33,Ann. 1,LedePres,2.0
33,Ann. 3,ArtBias,4.0
33,Ann. 3,HeadAcc1,4.0
33,Ann. 1,SensLang,4.0
33,Ann. 3,SensLang,4.0
33,Ann. 3,Type,1.0
33,Ann. 1,Type,1.0
33,Ann. 3,NegTarg1,1.0
33,Ann. 1,NegTarg1,1.0
33,Ann. 1,HeadAcc1,4.0
33,Ann. 3,LedePres,1.0
33,Ann. 3,NegTarg2,[]
33,Ann. 1,NegTarg2,[]
34,Ann. 3,Type,1.0
34,Ann. 1,Type,1.0
34,Ann. 3,HeadAcc1,3.0
34,Ann. 1,SensLang,4.0
34,Ann. 3,SensLang,4.0
34,Ann. 1,ArtBias,4.0
34,Ann. 3,ArtBias,4.0
34,Ann. 3,LedePres,1.0
34,Ann. 1,LedePres,2.0
34,Ann. 1,HeadAcc1,2.0
34,Ann. 3,NegTarg2,[]
34,Ann. 1,NegTarg2,[]
34,Ann. 3,NegTarg1,1.0
34,Ann. 1,NegTarg1,1.0
35,Ann. 2,Type,1.0
35,Ann. 3,Type,1.0
35,Ann. 2,LedePres,1.0
35,Ann. 3,ArtBias,4.0
35,Ann. 2,NegTarg2,[]
35,Ann. 3,HeadAcc1,4.0
35,Ann. 2,HeadAcc1,4.0
35,Ann. 3,NegTarg2,[]
35,Ann. 3,LedePres,1.0
35,Ann. 2,ArtBias,4.0
35,Ann. 3,NegTarg1,1.0
35,Ann. 2,NegTarg1,1.0
35,Ann. 3,SensLang,4.0
35,Ann. 2,SensLang,4.0
36,Ann. 2,HeadAcc1,4.0
36,Ann. 1,HeadAcc1,3.0
36,Ann. 1,ArtBias,3.0
36,Ann. 2,ArtBias,4.0
36,Ann. 2,SensLang,4.0
36,Ann. 2,NegTarg1,1.0
36,Ann. 2,NegTarg2,[]
36,Ann. 1,NegTarg1,1.0
36,Ann. 1,NegTarg2,[]
36,Ann. 2,LedePres,1.0
36,Ann. 1,LedePres,1.0
36,Ann. 1,Type,5.0
36,Ann. 2,Type,1.0
36,Ann. 1,SensLang,3.0
37,Ann. 3,NegTarg2,[]
37,Ann. 1,Type,1.0
37,Ann. 3,Type,1.0
37,Ann. 3,HeadAcc1,3.0
37,Ann. 1,HeadAcc1,2.0
37,Ann. 3,LedePres,1.0
37,Ann. 1,LedePres,1.0
37,Ann. 1,ArtBias,2.0
37,Ann. 1,NegTarg1,2.0
37,Ann. 3,ArtBias,4.0
37,Ann. 3,SensLang,4.0
37,Ann. 1,NegTarg2,['4']
37,Ann. 1,SensLang,1.0
37,Ann. 3,NegTarg1,1.0
38,Ann. 1,SensLang,4.0
38,Ann. 1,NegTarg2,[]
38,Ann. 3,SensLang,4.0
38,Ann. 1,NegTarg1,1.0
38,Ann. 1,Type,1.0
38,Ann. 3,Type,1.0
38,Ann. 1,LedePres,2.0
38,Ann. 3,LedePres,1.0
38,Ann. 3,ArtBias,4.0
38,Ann. 3,NegTarg2,[]
38,Ann. 3,HeadAcc1,4.0
38,Ann. 1,ArtBias,4.0
38,Ann. 1,HeadAcc1,4.0
38,Ann. 3,NegTarg1,1.0
39,Ann. 3,ArtBias,3.0
39,Ann. 3,LedePres,1.0
39,Ann. 2,Type,1.0
39,Ann. 2,LedePres,1.0
39,Ann. 3,Type,1.0
39,Ann. 3,NegTarg1,2.0
39,Ann. 2,NegTarg1,2.0
39,Ann. 2,NegTarg2,['4']
39,Ann. 3,NegTarg2,['4']
39,Ann. 2,ArtBias,3.0
39,Ann. 2,SensLang,3.0
39,Ann. 3,SensLang,4.0
39,Ann. 3,HeadAcc1,3.0
39,Ann. 2,HeadAcc1,3.0
40,Ann. 1,NegTarg2,[]
40,Ann. 2,NegTarg1,1.0
40,Ann. 1,NegTarg1,1.0
40,Ann. 2,NegTarg2,[]
40,Ann. 2,SensLang,4.0
40,Ann. 1,SensLang,4.0
40,Ann. 2,LedePres,1.0
40,Ann. 1,HeadAcc1,4.0
40,Ann. 2,HeadAcc1,4.0
40,Ann. 2,ArtBias,4.0
40,Ann. 2,Type,1.0
40,Ann. 1,LedePres,1.0
40,Ann. 1,ArtBias,4.0
40,Ann. 1,Type,1.0
41,Ann. 2,NegTarg1,2.0
41,Ann. 1,NegTarg1,1.0
41,Ann. 1,SensLang,4.0
41,Ann. 2,SensLang,4.0
41,Ann. 1,LedePres,2.0
41,Ann. 2,HeadAcc1,3.0
41,Ann. 2,LedePres,2.0
41,Ann. 2,NegTarg2,['4']
41,Ann. 1,NegTarg2,[]
41,Ann. 1,HeadAcc1,4.0
41,Ann. 2,Type,1.0
41,Ann. 1,Type,1.0
41,Ann. 2,ArtBias,4.0
41,Ann. 1,ArtBias,4.0
42,Ann. 3,NegTarg1,2.0
42,Ann. 2,SensLang,3.0
42,Ann. 3,HeadAcc1,3.0
42,Ann. 2,ArtBias,2.0
42,Ann. 2,NegTarg1,2.0
42,Ann. 3,SensLang,2.0
42,Ann. 3,LedePres,1.0
42,Ann. 2,LedePres,1.0
42,Ann. 3,ArtBias,2.0
42,Ann. 2,HeadAcc1,4.0
42,Ann. 2,NegTarg2,['4']
42,Ann. 3,NegTarg2,['4']
42,Ann. 3,Type,2.0
42,Ann. 2,Type,2.0
43,Ann. 1,ArtBias,4.0
43,Ann. 2,ArtBias,4.0
43,Ann. 2,Type,1.0
43,Ann. 1,NegTarg2,[]
43,Ann. 2,NegTarg1,1.0
43,Ann. 2,NegTarg2,[]
43,Ann. 2,SensLang,4.0
43,Ann. 1,SensLang,4.0
43,Ann. 1,LedePres,2.0
43,Ann. 2,LedePres,2.0
43,Ann. 1,NegTarg1,1.0
43,Ann. 1,Type,1.0
43,Ann. 1,HeadAcc1,4.0
43,Ann. 2,HeadAcc1,4.0
44,Ann. 1,NegTarg2,[]
44,Ann. 2,NegTarg1,1.0
44,Ann. 2,HeadAcc1,4.0
44,Ann. 1,HeadAcc1,3.0
44,Ann. 2,ArtBias,4.0
44,Ann. 1,NegTarg1,1.0
44,Ann. 2,NegTarg2,[]
44,Ann. 2,SensLang,4.0
44,Ann. 2,Type,3.0
44,Ann. 1,Type,3.0
44,Ann. 1,SensLang,4.0
44,Ann. 2,LedePres,2.0
44,Ann. 1,ArtBias,4.0
44,Ann. 1,LedePres,2.0
45,Ann. 3,SensLang,4.0
45,Ann. 3,Type,3.0
45,Ann. 3,LedePres,1.0
45,Ann. 3,NegTarg1,1.0
45,Ann. 3,ArtBias,4.0
45,Ann. 3,HeadAcc1,4.0
45,Ann. 3,NegTarg2,[]
46,Ann. 2,Type,1.0
46,Ann. 1,Type,1.0
46,Ann. 2,LedePres,2.0
46,Ann. 1,LedePres,2.0
46,Ann. 2,ArtBias,4.0
46,Ann. 1,ArtBias,4.0
46,Ann. 2,NegTarg1,1.0
46,Ann. 1,NegTarg1,1.0
46,Ann. 1,NegTarg2,[]
46,Ann. 2,NegTarg2,[]
46,Ann. 1,SensLang,4.0
46,Ann. 2,SensLang,3.0
46,Ann. 1,HeadAcc1,3.0
46,Ann. 2,HeadAcc1,4.0
47,Ann. 3,NegTarg1,1.0
47,Ann. 3,HeadAcc1,4.0
47,Ann. 2,LedePres,1.0
47,Ann. 2,ArtBias,4.0
47,Ann. 2,NegTarg2,[]
47,Ann. 3,NegTarg2,[]
47,Ann. 2,SensLang,3.0
47,Ann. 2,NegTarg1,1.0
47,Ann. 3,SensLang,3.0
47,Ann. 3,Type,1.0
47,Ann. 2,Type,1.0
47,Ann. 3,ArtBias,4.0
47,Ann. 2,HeadAcc1,4.0
47,Ann. 3,LedePres,1.0
48,Ann. 3,NegTarg1,1.0
48,Ann. 2,HeadAcc1,3.0
48,Ann. 3,HeadAcc1,3.0
48,Ann. 2,LedePres,1.0
48,Ann. 2,ArtBias,4.0
48,Ann. 2,Type,3.0
48,Ann. 3,ArtBias,4.0
48,Ann. 2,NegTarg1,1.0
48,Ann. 3,LedePres,1.0
48,Ann. 2,SensLang,4.0
48,Ann. 2,NegTarg2,[]
48,Ann. 3,SensLang,4.0
48,Ann. 3,NegTarg2,[]
48,Ann. 3,Type,3.0
49,Ann. 1,HeadAcc1,4.0
49,Ann. 1,NegTarg2,['4']
49,Ann. 1,ArtBias,4.0
49,Ann. 3,HeadAcc1,4.0
49,Ann. 3,ArtBias,4.0
49,Ann. 3,NegTarg2,[]
49,Ann. 1,NegTarg1,2.0
49,Ann. 3,NegTarg1,2.0
49,Ann. 1,Type,2.0
49,Ann. 3,Type,2.0
49,Ann. 3,LedePres,1.0
49,Ann. 1,LedePres,1.0
49,Ann. 3,SensLang,4.0
49,Ann. 1,SensLang,4.0
50,Ann. 3,SensLang,4.0
50,Ann. 1,SensLang,4.0
50,Ann. 3,ArtBias,4.0
50,Ann. 3,HeadAcc1,3.0
50,Ann. 1,Type,1.0
50,Ann. 3,Type,1.0
50,Ann. 3,NegTarg1,1.0
50,Ann. 1,HeadAcc1,3.0
50,Ann. 1,LedePres,2.0
50,Ann. 1,NegTarg1,1.0
50,Ann. 3,LedePres,1.0
50,Ann. 1,ArtBias,4.0
50,Ann. 1,NegTarg2,[]
50,Ann. 3,NegTarg2,[]
51,Ann. 2,NegTarg2,[]
51,Ann. 3,NegTarg2,[]
51,Ann. 2,Type,3.0
51,Ann. 3,Type,3.0
51,Ann. 2,LedePres,1.0
51,Ann. 3,LedePres,1.0
51,Ann. 3,NegTarg1,1.0
51,Ann. 2,NegTarg1,1.0
51,Ann. 3,SensLang,4.0
51,Ann. 2,SensLang,4.0
51,Ann. 3,ArtBias,4.0
51,Ann. 2,ArtBias,3.0
51,Ann. 2,HeadAcc1,4.0
51,Ann. 3,HeadAcc1,4.0
52,Ann. 3,SensLang,4.0
52,Ann. 1,SensLang,4.0
52,Ann. 1,HeadAcc1,4.0
52,Ann. 3,HeadAcc1,4.0
52,Ann. 1,LedePres,2.0
52,Ann. 3,LedePres,1.0
52,Ann. 3,ArtBias,4.0
52,Ann. 3,Type,1.0
52,Ann. 1,NegTarg1,1.0
52,Ann. 1,NegTarg2,[]
52,Ann. 1,Type,1.0
52,Ann. 3,NegTarg2,[]
52,Ann. 1,ArtBias,4.0
52,Ann. 3,NegTarg1,1.0
53,Ann. 1,HeadAcc1,4.0
53,Ann. 3,HeadAcc1,4.0
53,Ann. 1,Type,3.0
53,Ann. 3,Type,3.0
53,Ann. 3,NegTarg1,1.0
53,Ann. 1,NegTarg1,1.0
53,Ann. 3,SensLang,4.0
53,Ann. 1,SensLang,4.0
53,Ann. 1,NegTarg2,[]
53,Ann. 3,NegTarg2,[]
53,Ann. 1,ArtBias,4.0
53,Ann. 3,ArtBias,4.0
53,Ann. 3,LedePres,2.0
53,Ann. 1,LedePres,2.0
54,Ann. 3,NegTarg1,1.0
54,Ann. 2,NegTarg1,1.0
54,Ann. 3,ArtBias,3.0
54,Ann. 2,ArtBias,3.0
54,Ann. 2,NegTarg2,[]
54,Ann. 3,NegTarg2,[]
54,Ann. 3,LedePres,1.0
54,Ann. 2,LedePres,2.0
54,Ann. 3,SensLang,3.0
54,Ann. 2,SensLang,3.0
54,Ann. 3,HeadAcc1,4.0
54,Ann. 2,HeadAcc1,4.0
54,Ann. 2,Type,4.0
54,Ann. 3,Type,3.0
55,Ann. 3,HeadAcc1,4.0
55,Ann. 1,HeadAcc1,3.0
55,Ann. 1,Type,1.0
55,Ann. 3,Type,1.0
55,Ann. 1,NegTarg1,1.0
55,Ann. 3,NegTarg1,1.0
55,Ann. 1,NegTarg2,[]
55,Ann. 3,NegTarg2,[]
55,Ann. 3,SensLang,4.0
55,Ann. 1,ArtBias,3.0
55,Ann. 1,SensLang,4.0
55,Ann. 3,ArtBias,4.0
55,Ann. 3,LedePres,1.0
55,Ann. 1,LedePres,2.0
56,Ann. 1,NegTarg1,1.0
56,Ann. 1,HeadAcc1,3.0
56,Ann. 1,ArtBias,4.0
56,Ann. 1,LedePres,1.0
56,Ann. 1,NegTarg2,[]
56,Ann. 1,Type,4.0
56,Ann. 1,SensLang,4.0
57,Ann. 1,NegTarg1,1.0
57,Ann. 1,NegTarg2,[]
